id                  ,label                              ,community           ,pr
1960007279431588856 ,tony blair                         ,-2209714333319565875,1.0000000000000004
-8403021265468921237,carsten fritsch                    ,-5123806391895283158,1.0000000000000004
8217712736364394548 ,ada choi                           ,5602245785061237038 ,1.0000000000000004
-6117186771910231345,jeff merkley                       ,-6117186771910231345,1.0000000000000004
6381873041093583154 ,scott pruitt                       ,-5123806391895283158,1.0000000000000004
-8644651080114709438,stan lehman                        ,-2498084582014429470,1.0000000000000004
2861099842232673667 ,john malkovich                     ,-8311584980666851264,1.0000000000000004
-6037475433742513966,catherine lucey                    ,-8778605200936573775,1.0000000000000004
-9095532847110449034,patrick rios                       ,-8778605200936573775,1.0000000000000004
-1350285718846657076,olzhas auyezov                     ,-3222624696690863942,1.0000000000000004
-6079544356918891432,salva kiir                         ,-6664691230212547061,1.0000000000000004
-6631915044157937023,bill mckibben                      ,-5123806391895283158,1.0000000000000004
-3401558106062925973,jim gomez                          ,-3401558106062925973,1.0000000000000004
1004482192890443612 ,carl tannenbaum                    ,-5888010320500233275,1.0000000000000004
7423561033629485258 ,christine armario                  ,-2498084582014429470,1.0000000000000004
-8168030487073076892,stephen bannon                     ,-5123806391895283158,1.0000000000000004
-1852196532463439303,angus nicholson                    ,-5888010320500233275,1.0000000000000004
5669810817728340014 ,hermann goring                     ,-2019257571715061722,1.0000000000000004
-2019257571715061722,john donovan                       ,-2019257571715061722,1.0000000000000004
3848027836917258983 ,ahsan iqbal                        ,-5123806391895283158,1.0000000000000004
8388231231942637301 ,nestor silva                       ,-6817692648362739035,1.0000000000000004
-7512790269054083321,monte rogneby                      ,-6817692648362739035,1.0000000000000004
-1652469311467641984,bernie sanders                     ,-5123806391895283158,1.0000000000000004
-3038304460437961862,harry s truman                     ,-5123806391895283158,1.0000000000000004
-8389961796051199048,henrique capriles                  ,-2498084582014429470,1.0000000000000004
3018477597755113547 ,reince priebus                     ,-5123806391895283158,1.0000000000000004
-2924185095862151031,matthew lee                        ,-5123806391895283158,1.0000000000000004
-703758798842958219 ,bradley klapper                    ,-5123806391895283158,1.0000000000000004
-82939634550614629  ,joe batt                           ,-5123806391895283158,1.0000000000000004
3444304931624107770 ,sami aboudi                        ,495912723314298339  ,1.0000000000000004
-4783468811997181895,bassem mroue                       ,-5123806391895283158,1.0000000000000004
-7534767316327541722,steven mnuchin                     ,-5123806391895283158,1.0000000000000004
8735439507201685982 ,tibisay lucena                     ,-2498084582014429470,1.0000000000000004
1271790729568061379 ,sun pharma                         ,-6411644534435696354,1.0000000000000004
