source              ,target              ,articles
7519218881764246375 ,-441503973431915681 ,1220
7847643209716875905 ,-2030977886066610622,1119
9014183989093063301 ,1731868121115529840 ,1011
-8800856954420026473,8984620194342160184 ,1356
-6863977572833650026,648803521752926221  ,1268
-6817692648362739035,-698633528624703244 ,2969
-5358653244239667776,-8714613529726824628,1449
-4146951702412223009,7871747628767178370 ,1945
-3922507348792021692,4598025016433322182 ,2540
-3466288976667784699,-319213317550603216 ,2768
-2209714333319565875,-7534767316327541722,1541
-2030977886066610622,-942256357442469323 ,2033
-1808812747603547780,-1652469311467641984,1884
-1652469311467641984,-3466288976667784699,1167
-1266629959247391147,-441503973431915681 ,1003
-554187375508143523 ,-1898434984717323372,1508
-352743772921911031 ,-5123806391895283158,1598
-319213317550603216 ,-6079544356918891432,1092
-319213317550603216 ,7090419308735054832 ,5400
-133744476711841504 ,-9048825507867601153,1158
476135616677260618  ,-5940679555693009599,2447
633087338846443428  ,-8800856954420026473,1217
1832510329768604584 ,8770548263920305041 ,1072
1943401871528076639 ,6877548276407382121 ,2406
3968009107423201800 ,7961587406411262285 ,2036
4024005794333692284 ,-8778605200936573775,1578
4184381332395750060 ,9187478992269786939 ,1295
4439239363250194558 ,-319213317550603216 ,1276
5938483825255926276 ,6700158222676742348 ,2811
8132684862963203237 ,-8960197832379606737,2288
8221521381664606233 ,2873133290080674816 ,1219
9034411090304042247 ,-4678795136086809460,2352
-6378648197850386867,-3922507348792021692,1337
-6270542319968030505,-319213317550603216 ,1868
-6032953878285540342,6482962707922207650 ,1218
-5123806391895283158,-5870575978673607603,2085
-4584259589746295249,-7764520725921474676,2159
-4389296294014978424,7622153264349607146 ,1854
-4383427925976837532,-7515309291958133185,1072
-4146951702412223009,-2498084582014429470,1361
-3530281169599167693,-5123806391895283158,1199
-3463722585218783619,-3034747171331345424,1154
-3034908872723999323,6381873041093583154 ,1174
-2255399436524251984,1018642688190632507 ,1086
-2209714333319565875,1396659041461220869 ,1504
-2030977886066610622,-8800856954420026473,2465
-2030977886066610622,-2196687321597242889,1161
-2030977886066610622,173344757297817918  ,1508
-1898434984717323372,-1652469311467641984,3252
-1843037069962836581,-232442968513540034 ,4718
-1086463102053860736,5745090389146023302 ,3204
-554187375508143523 ,6991482002228067947 ,2172
-319213317550603216 ,-7997757466815276871,1582
-319213317550603216 ,1098278059664356283 ,2130
-319213317550603216 ,3111672688651582693 ,2428
-319213317550603216 ,3673172251135641489 ,1645
-319213317550603216 ,6832474468425098270 ,1205
633087338846443428  ,-1843037069962836581,1631
1932551752666018672 ,-5123806391895283158,9353
2873133290080674816 ,-5123806391895283158,10471
3867665940551658973 ,-2030977886066610622,1110
3968009107423201800 ,3815815919996108488 ,1558
4184381332395750060 ,-1843037069962836581,1318
5347642570561376943 ,3434937228167692261 ,1696
5602245785061237038 ,-6557087886148043414,1296
6132106858894494217 ,6700158222676742348 ,1300
7090419308735054832 ,-1843037069962836581,2345
-9143715679620637947,633087338846443428  ,1174
-7531676124604896595,-2209714333319565875,1436
-5825783656841140364,4184381332395750060 ,1160
-4729589068185710698,-1808812747603547780,1110
-4441945530268272485,1098278059664356283 ,2242
-4389296294014978424,-441503973431915681 ,1014
-4389296294014978424,9187478992269786939 ,1290
-3478596020125486938,8217712736364394548 ,1296
-3131478713916425544,-2030977886066610622,10796
-2234739453058822859,4484300585804250915 ,1468
-2180389149550549525,5512656596086630433 ,1033
-2158790193493657764,-2030977886066610622,3067
-2049965148602611775,-2030977886066610622,1941
-2030977886066610622,-4894173984603446875,4632
-2030977886066610622,-2171465814280876030,2125
-2030977886066610622,7982995984997058278 ,1113
-1843037069962836581,-5044865441892422651,1372
972166625298665897  ,255048026679909788  ,1865
1293994422478302378 ,-9046669626393335991,1998
1633045344658914223 ,1650545901460872628 ,1086
1832510329768604584 ,-8422424525951467977,1625
1960007279431588856 ,-758527018290989534 ,1783
4018041505326134685 ,5925519344790501494 ,1388
4282139899318826593 ,-319213317550603216 ,3431
6232840699060590306 ,5679758924589637024 ,1628
6546948422644068577 ,-798982772758647182 ,1405
7871747628767178370 ,-5451732678002101533,1047
8061477648783161194 ,-319213317550603216 ,1360
8366353836417263554 ,433675138669271630  ,1394
8665137029853177390 ,-6984833761193674081,1016
-8354583715484812084,-2030977886066610622,17688
-7515309291958133185,-2209714333319565875,2749
-7456849817323352874,-2030977886066610622,2333
-6032953878285540342,-1652469311467641984,2529
-5729020544562572248,-1843037069962836581,2383
-4729589068185710698,1895831117862637425 ,2277
-3551898636660656400,-2498084582014429470,1256
-3401558106062925973,9169490345438526152 ,1294
-3222624696690863942,5690402462881397655 ,5459
-2868799911054493240,7816974886793045061 ,2242
-2868799911054493240,8001590646103101301 ,1263
-2376203089953264870,1832510329768604584 ,1879
-2234739453058822859,-1264356401435835211,2288
-2209714333319565875,-4584259589746295249,10310
-2209714333319565875,1395096736277627200 ,2022
-2209714333319565875,1932551752666018672 ,2526
-1808812747603547780,633087338846443428  ,1231
-1652469311467641984,-2376203089953264870,6589
